จบจากโรงเรียน,Central,East,North,Northeast,South,western
บดินทรเดชา(สิงห์สิงหเสนี)นนทบุรี,1,0,0,0,0,0
บดินทรเดชา(สิงห์สิงหเสนี)สมุทรปราการ,1,0,0,0,0,0
บดินทรเดชา(สิงห์สิงหเสนี)๒,1,0,0,0,0,0
บดินทรเดชา(สิงห์สิงหเสนี)๔,1,0,0,0,0,0
บรบือ,0,0,0,1,0,0
บรมราชินีนาถราชวิทยาลัย,0,0,0,0,0,1
บรรพตพิสัยพิทยาคม,1,0,0,0,0,0
บรรหารแจ่มใสวิทยา3,1,0,0,0,0,0
บรรหารแจ่มใสวิทยา5,1,0,0,0,0,0
บรรหารแจ่มใสวิทยา6,1,0,0,0,0,0
บัวหลวงวิทยาคม,0,0,0,1,0,0
บางกะปิ,1,0,0,0,0,0
บางน้ำเปรี้ยววิทยา,0,1,0,0,0,0
บางบัวทอง,1,0,0,0,0,0
บางบ่อวิทยาคม,1,0,0,0,0,0
บางปลาม้า(สูงสุมารผดุงวิทย์),1,0,0,0,0,0
บางปะกอกวิทยาคม,1,0,0,0,0,0
บางปะหัน,1,0,0,0,0,0
บางปะอิน(ราชานุเคราะห์๑),1,0,0,0,0,0
บางพลีราษฎร์บำรุง,1,0,0,0,0,0
บางมดวิทยา,1,0,0,0,0,0
บางมูลนากภูมิวิทยาคม,1,0,0,0,0,0
บางระจันวิทยา,1,0,0,0,0,0
บางละมุง,0,1,0,0,0,0
บางลี่วิทยา,1,0,0,0,0,0
บางสวรรค์วิทยาคม,0,0,0,0,1,0
บางสะพานน้อยวิทยาคม,0,0,0,0,0,1
บางสะพานวิทยา,0,0,0,0,0,1
บางหลวงวิทยา,1,0,0,0,0,0
บางแก้วประชาสรรค์,1,0,0,0,0,0
บางแพปฐมพิทยา,0,0,0,0,0,1
บางแม่หม้ายรัฐราษฎร์รังสฤษดิ์,1,0,0,0,0,0
บึงกาฬ,0,0,0,1,0,0
บึงสามพันวิทยาคม,1,0,0,0,0,0
บุญวัฒนา,0,0,0,1,0,0
บุญวาทย์วิทยาลัย,0,0,1,0,0,0
บุรีรัมย์พิทยาคม,0,0,0,1,0,0
บุ่งคล้านคร,0,0,0,1,0,0
บ่อกรุวิทยา,1,0,0,0,0,0
บ่อสวกวิทยาคาร,0,0,1,0,0,0
บ่อสุพรรณวิทยา,1,0,0,0,0,0
บ่อไร่วิทยาคม,0,1,0,0,0,0
บ้านกรวดวิทยาคาร,0,0,0,1,0,0
บ้านค่าย,0,1,0,0,0,0
บ้านฉางกาญจนกุลวิทยา,0,1,0,0,0,0
บ้านดุงวิทยา,0,0,0,1,0,0
บ้านตาขุนวิทยา,0,0,0,0,1,0
บ้านทุ่งนาวิทยา,1,0,0,0,0,0
บ้านนาสาร,0,0,0,0,1,0
บ้านม่วงพิทยาคม,0,0,0,1,0,0
บ้านสวน(จั่นอนุสรณ์),0,1,0,0,0,0
บ้านหมี่วิทยา,1,0,0,0,0,0
บ้านเขว้าวิทยายน,0,0,0,1,0,0
บ้านไผ่,0,0,0,1,0,0
บ้านไร่วิทยา,1,0,0,0,0,0
ปทุมคงคา,1,0,0,0,0,0
ปทุมคงคาสมุทรปราการ,1,0,0,0,0,0
ปทุมรัตต์พิทยาคม,0,0,0,1,0,0
ปทุมราชวงศา,0,0,0,1,0,0
ปทุมวิไล,1,0,0,0,0,0
ปทุมเทพวิทยาคาร,0,0,0,1,0,0
ประจวบวิทยาลัย,0,0,0,0,0,1
ประจักษ์ศิลปาคาร,0,0,0,1,0,0
ประจันตราษฎร์บำรุง,0,1,0,0,0,0
ประชามงคล,0,0,0,0,0,1
ประชาสงเคราะห์วิทยา,1,0,0,0,0,0
ประสาทรัฐประชากิจ,0,0,0,0,0,1
ประสาทวิทยาคาร,0,0,0,1,0,0
ประสานมิตรวิทยา,0,0,0,1,0,0
ประเทียบวิทยาทาน,1,0,0,0,0,0
ประโคนชัยพิทยาคม,0,0,0,1,0,0
ปราจิณราษฎรอำรุง,0,1,0,0,0,0
ปราจีนกัลยาณี,0,1,0,0,0,0
ปลวกแดงพิทยาคม,0,1,0,0,0,0
ปลาค้าววิทยานุสรณ์,0,0,0,1,0,0
ปลายพระยาวิทยาคม,0,0,0,0,1,0
ปะทิววิทยา,0,0,0,0,1,0
ปักธงชัยประชานิรมิต,0,0,0,1,0,0
ปัญญาวรคุณ,1,0,0,0,0,0
ปัว,0,0,1,0,0,0
ปากจั่นวิทยา,0,0,0,0,1,0
ปากช่อง,0,0,0,1,0,0
ปากน้ำชุมพรวิทยา,0,0,0,0,1,0
ปากพนัง,0,0,0,0,1,0
ปากเกร็ด,1,0,0,0,0,0
ปางศิลาทองศึกษา,1,0,0,0,0,0
ปาโมกข์วิทยาภูมิ,1,0,0,0,0,0
ปิยะบุตร์,1,0,0,0,0,0
ปิยะมหาราชาลัย,0,0,0,1,0,0
ป่าพะยอมพิทยาคม,0,0,0,0,1,0
ป่าเด็งวิทยา,0,0,0,0,0,1
ป้อมนาคราชสวาทยานนท์,1,0,0,0,0,0
ผดุงปัญญา,0,0,0,0,0,1
ฝางชนูปถัมภ์,0,0,1,0,0,0
พญาเม็งราย,0,0,1,0,0,0
พนมทวนชนูปถัมภ์,0,0,0,0,0,1
พนมรอกวิทยา,1,0,0,0,0,0
