จบจากโรงเรียน,No_computer,working,not_working,no_boy,no_girl,total_student,no_classroom,total_teacher,total_teacher_rank1,total_teacher_rank2,total_teacher_rank3,total_teacher_rank4,total_teacher_rank5
หนองเสือวิทยาคม,255,255,0,853,959,1812,51,58,30,10,18,0,0
เตรียมอุดมศึกษาพัฒนาการปทุมธานี,204,204,0,1118,1333,2451,64,56,41,9,6,0,0
เทพศิรินทร์คลองสิบสามปทุมธานี,27,27,0,406,472,878,33,41,17,12,12,0,0
นวมินทราชินูทิศสวนกุหลาบวิทยาลัยปทุมธานี,300,300,0,1006,1244,2250,62,92,43,19,30,0,0
มัธยมสังคีตวิทยากรุงเทพมหานคร,162,111,51,319,294,613,25,30,12,9,9,0,0
สุธีวิทยา,168,168,0,509,594,1103,33,41,15,5,21,0,0
ดอนพุดวิทยา,37,37,0,153,169,322,10,13,6,1,6,0,0
สวนกุหลาบวิทยาลัยสระบุรี,180,167,13,706,746,1452,49,65,32,19,13,1,0
สระบุรีวิทยาคม,555,555,0,1600,2259,3859,100,134,72,14,48,0,0
หนองโดนวิทยา,35,32,3,66,53,119,6,8,6,2,0,0,0
พระพุทธบาท,56,29,2,195,166,361,10,9,2,1,6,0,0
บ้านหมอ,147,137,10,452,507,959,30,40,19,6,15,0,0
หนองแซงวิทยา,130,100,30,258,261,519,16,21,5,5,11,0,0
เสาไห้,546,546,0,1272,1651,2923,75,118,60,25,33,0,0
โคกกระท้อนกิตติวุฒิวิทยา,76,76,0,204,158,362,15,19,2,7,10,0,0
เทพศิรินทร์พุแค,296,221,75,819,1024,1843,50,60,24,22,14,0,0
แก่งคอย,232,220,12,1217,1628,2845,72,108,56,30,22,0,0
หนองแค,182,182,0,1109,1467,2576,66,96,63,19,14,0,0
ประเทียบวิทยาทาน,135,110,0,800,869,1669,48,66,31,17,15,3,0
สองคอนวิทยาคม,50,50,0,214,152,366,16,12,1,4,7,0,0
เตรียมอุดมศึกษาพัฒนาการสระบุรี,59,49,15,234,220,454,15,18,12,3,3,0,0
