จบจากโรงเรียน,No_computer,working,not_working,no_boy,no_girl,total_student,no_classroom,total_teacher,total_teacher_rank1,total_teacher_rank2,total_teacher_rank3,total_teacher_rank4,total_teacher_rank5
รามราชพิทยาคม,48,23,22,150,142,292,18,13,9,0,4,0,0
ท่าจำปาวิทยา,39,8,31,71,65,136,6,5,2,1,2,0,0
เชียงยืนวิทยา,21,12,9,71,69,140,9,9,4,5,0,0,0
บ้านแพงพิทยาคม,157,127,30,451,668,1119,38,42,19,5,18,0,0
ภูลังกาพิทยาคม,54,28,26,128,110,238,9,9,6,2,1,0,0
สหราษฎร์รังสฤษดิ์,115,100,5,648,914,1562,39,63,29,12,22,0,0
สามผงวิทยาคม,61,54,7,97,99,196,12,6,3,0,3,0,0
สนธิราษฎร์วิทยา,45,45,0,182,227,409,15,16,7,3,6,0,0
นาคำราษฎร์รังสรรค์,30,24,3,78,86,164,8,9,4,2,3,0,0
นาเดื่อพิทยาคม,26,20,6,102,131,233,10,13,10,2,1,0,0
บ้านข่าพิทยาคม,59,30,29,115,158,273,12,16,5,1,8,0,2
นาหว้าพิทยาคม(ธาตุประสิทธิ์ประชานุเคราะห์),91,43,48,479,616,1095,33,44,16,12,16,0,0
นางัวราษฎร์รังสรรค์,31,14,17,116,106,222,9,7,1,1,5,0,0
ดอนเสียวแดงพิทยาคม,22,19,3,116,91,207,8,7,1,4,2,0,0
อุดมพัฒนศึกษา,39,39,0,135,104,239,9,8,2,2,4,0,0
โพนสวรรค์ราษฎร์พัฒนา,88,75,13,424,618,1042,36,42,28,7,7,0,0
ค้อวิทยาคม,54,45,9,143,207,350,15,22,14,4,4,0,0
นาทมวิทยา,88,55,0,231,248,479,16,20,14,3,3,0,0
หนองซนพิทยาคม,70,16,54,82,153,235,12,11,7,2,2,0,0
หนองแวงวิทยานุกูล,24,3,21,109,127,236,11,10,7,2,1,0,0
มุกดาหาร,200,188,0,837,1354,2191,62,102,32,19,51,0,0
นาโสกวิทยาคาร,28,28,0,96,107,203,10,14,5,3,6,0,0
ผึ่งแดดวิทยาคาร,59,59,10,270,374,644,22,32,3,5,24,0,0
นวมินทราชูทิศอีสาน,256,128,0,219,357,576,20,34,3,3,28,0,0
คำป่าหลายสรรพวิทย์,25,13,12,142,141,283,11,14,4,5,5,0,0
ดงเย็นวิทยาคม,34,30,4,195,222,417,14,18,11,5,2,0,0
นาวาราชกิจพิทยานุสรณ์,27,27,0,91,123,214,9,11,4,3,4,0,0
มุกดาวิทยานุกูล,55,55,0,402,574,976,32,49,16,19,14,0,0
วิทยาศาสตร์จุฬาภรณราชวิทยาลัยมุกดาหาร,194,174,20,356,468,824,35,51,18,23,10,0,0
ดงมอนวิทยาคม,43,19,24,134,173,307,15,21,13,6,2,0,0
เมืองมุกวิทยาคม,51,23,26,108,98,206,9,14,3,2,9,0,0
คำสร้อยพิทยาสรรค์,70,70,0,469,654,1123,33,46,8,10,28,0,0
อุดมวิทย์,98,63,35,132,158,290,11,19,8,3,8,0,0
ร่มเกล้าพิทยาสรรค์,23,6,16,105,90,195,9,14,6,4,4,0,0
แวงใหญ่พิทยาสรรค์,64,25,39,58,62,120,6,6,4,0,2,0,0
โชคชัยวิทยา,68,56,12,62,64,126,8,10,8,1,1,0,0
ดอนตาลวิทยา,200,140,55,419,659,1078,33,38,10,10,18,0,0
โพธิ์ไทรวิทยา,51,46,1,86,108,194,8,11,0,0,11,0,0
ผาเทิบวิทยา,59,34,25,152,178,330,12,14,11,0,3,0,0
ดงหลวงวิทยา,147,117,30,304,454,758,23,37,16,8,13,0,0
กกตูมประชาสรรค์รัชมังคลาภิเษก,35,25,10,64,67,131,6,8,3,3,2,0,0
คำชะอีวิทยาคาร,150,42,108,377,521,898,26,40,4,18,18,0,0
คำบกวิทยาคาร,33,31,2,126,141,267,10,13,0,4,9,0,0
ชัยปัญญาวิทยานุสรณ์,60,30,0,120,126,246,13,15,3,5,7,0,0
คำชะอีพิทยาคม,40,22,18,117,106,223,12,15,0,2,13,0,0
เหล่าประชาอุทิศ,28,15,13,54,59,113,7,7,2,3,2,0,0
หว้านใหญ่วิทยา,71,59,12,180,202,382,12,17,6,1,10,0,0
หนองสูงสามัคคีวิทยา,171,171,0,344,431,775,24,43,0,4,39,0,0
พลังราษฎร์พิทยาสรรพ์,50,40,10,70,77,147,7,12,0,1,11,0,0
หนองแวงวิทยาคม,42,42,0,95,95,190,6,12,1,1,10,0,0
สกลราชวิทยานุกูล,417,320,40,1443,2197,3640,94,153,15,15,123,0,0
ดงมะไฟวิทยา,134,99,35,233,270,503,18,20,6,4,10,0,0
สกลนครพัฒนศึกษา,205,185,20,723,910,1633,56,77,13,15,49,0,0
ธาตุนารายณ์วิทยา,319,319,0,1191,1931,3122,80,126,21,7,98,0,0
ท่าแร่ศึกษา,59,42,17,211,275,486,15,29,8,8,13,0,0
เฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัวภูมิพลอดุลยเดชฯทรงครองสิริราชสมบัติครบ๕๐ปีจังหวัดสกลนคร,81,33,49,129,143,272,12,17,0,2,15,0,0
กุสุมาลย์วิทยาคม,176,94,82,614,825,1439,44,55,31,10,14,0,0
โพธิแสนวิทยา,64,45,19,301,339,640,20,30,12,10,8,0,0
เต่างอยพัฒนศึกษา,116,50,18,367,481,848,25,36,8,8,20,0,0
ร่มเกล้า,238,210,28,526,771,1297,39,48,4,7,37,0,0
ด่านม่วงคำพิทยาคม,72,43,29,114,135,249,12,23,3,5,15,0,0
โพนพิทยาคม,89,15,74,111,185,296,11,17,0,4,13,0,0
คำเพิ่มพิทยา,67,60,7,227,331,558,18,22,5,10,7,0,0
ท่านผู้หญิงจันทิมาพึ่งบารมี,61,46,15,272,278,550,17,23,13,4,6,0,0
พังโคนวิทยาคม,61,61,0,790,1055,1845,54,87,21,16,50,0,0
กุดบากพัฒนาศึกษา,100,100,0,537,730,1267,34,57,19,7,31,0,0
พรรณาวุฒาจารย์,160,115,0,518,680,1198,33,54,6,10,38,0,0
บ้านบัวราษฎร์บำรุง,54,53,1,171,162,333,12,21,4,3,14,0,0
ลำปลาหางวิทยา,18,17,1,65,56,121,6,9,3,3,3,0,0
เทพสวัสดิ์วิทยา,41,29,12,63,68,131,6,8,1,0,7,0,0
ภูริทัตต์วิทยา,26,15,11,103,132,235,8,12,3,2,7,0,0
บะฮีวิทยาคม,48,26,22,100,116,216,9,11,2,4,5,0,0
ช้างมิ่งพิทยานุกูล,34,22,12,99,86,185,7,9,2,1,6,0,0
มัธยมวาริชภูมิ,178,86,0,523,659,1182,36,45,14,11,20,0,0
ธรรมบวรวิทยา,79,69,10,290,457,747,20,28,3,7,18,0,0
วาริชวิทยา,55,30,25,81,78,159,6,12,0,2,10,0,0
นิคมน้ำอูนเจริญวิทยา,76,55,21,209,236,445,18,19,5,1,13,0,0
เตรียมอุดมศึกษาภาคตะวันออกเฉียงเหนือ,38,33,5,595,1331,1926,56,80,42,10,28,0,0
แวงพิทยาคม,55,35,0,255,293,548,18,27,3,2,22,0,0
หนองหลวงศึกษา,82,28,54,322,338,660,21,37,12,8,17,0,0
โคกสีวิทยาสรรค์,89,64,25,203,244,447,17,23,15,2,6,0,0
บงเหนือวิทยาคม,52,38,5,106,137,243,9,15,6,1,8,0,0
สว่างแดนดิน,650,650,0,1048,1518,2566,75,119,43,19,56,1,0
ส่องดาววิทยาคม,28,28,0,265,405,670,18,36,16,4,16,0,0
มัธยมวานรนิวาส,404,398,0,1094,1626,2720,78,106,37,14,54,1,0
โรงเรียนคำตากล้าราชประชาสงเคราะห์,176,160,32,528,688,1216,34,39,14,12,13,0,0
กุดเรือคำพิทยาคาร,47,22,25,263,323,586,18,31,20,1,10,0,0
ศึกษาประชาสามัคคี,26,26,0,202,213,415,15,15,10,4,1,0,0
หนองแวงวิทยา,8,8,0,124,131,255,9,13,2,3,7,1,0
บ้านม่วงพิทยาคม,213,176,37,657,903,1560,41,61,24,15,22,0,0
โพธิ์ชัยทองพิทยาคม,56,54,2,85,83,168,9,9,7,0,2,0,0
อากาศอำนวยศึกษา,154,121,33,803,1119,1922,55,96,20,15,60,1,0
โพนงามศึกษา,113,78,35,396,519,915,28,40,13,4,23,0,0
ท่าสงครามวิทยา,25,13,12,94,89,183,10,14,7,4,3,0,0
เจริญศิลป์ศึกษา“โพธิ์คำอนุสรณ์”,103,100,3,307,380,687,24,29,8,4,17,0,0
หนองสอพิทยาคม,36,35,3,99,85,184,10,15,0,3,12,0,0
กาฬสินธุ์พิทยาสรรพ์,450,450,0,1489,2048,3537,91,168,24,27,116,1,0
กมลาไสย,170,170,0,1044,1252,2296,59,90,22,7,60,1,0
อนุกูลนารี,310,293,90,1262,2186,3448,92,150,32,31,87,0,0
ฟ้าแดดสูงยางวิทยาคาร,49,22,27,93,98,191,7,14,0,0,14,0,0
ดอนไทรงามพิทยาคม,20,20,0,152,129,281,9,18,2,2,14,0,0
เมืองกาฬสินธุ์,170,170,0,547,519,1066,32,62,13,7,42,0,0
เหล่านาแกวิทยานุสรณ์,20,10,10,76,46,122,6,14,0,0,14,0,0
โคกศรีเมือง,27,9,18,32,19,51,6,8,0,1,7,0,0
ธัญญาพัฒนวิทย์,31,20,11,63,37,100,6,10,1,0,9,0,0
แก่งนาจารย์พิทยาคม,33,28,5,23,31,54,5,10,3,2,5,0,0
เมืองเหนือวิทยาคม,25,24,1,51,37,88,6,11,2,4,5,0,0
ร่องคำ,178,168,148,1023,1225,2248,58,100,22,20,58,0,0
สหัสขันธ์ศึกษา,142,56,86,399,557,956,28,44,7,6,31,0,0
นามะเขือพัฒนศึกษา,35,15,20,69,59,128,8,8,6,2,0,0,0
โนนศิลาพิทยาคม,33,18,15,76,72,148,6,8,1,2,5,0,0
สามชัย,72,72,3,266,395,661,24,37,10,8,19,0,0
ดอนจานวิทยาคม,29,29,0,257,260,517,26,25,9,7,9,0,0
จำปาหลวงวิทยาคม,32,30,2,96,74,170,12,11,4,2,5,0,0
ยางตลาดวิทยาคาร,354,310,28,643,875,1518,47,74,12,10,52,0,0
โนนสูงพิทยาคม,68,25,43,106,67,173,10,11,0,0,11,0,0
หัวหินวัฒนาลัย,13,7,6,99,99,198,8,9,2,2,5,0,0
เขาพระนอนวิทยาคม,38,35,3,84,79,163,6,10,2,2,6,0,0
วังลิ้นฟ้าวิทยาคม,64,29,35,24,30,54,6,12,1,1,10,0,0
วังมนวิทยาคาร,28,25,0,67,30,97,6,15,0,1,14,0,0
คำเจริญวิทยาคม,42,23,19,26,34,60,6,9,4,1,4,0,0
ห้วยเม็กวิทยาคม,54,48,6,385,538,923,27,50,3,2,45,0,0
ท่าคันโทวิทยาคาร,56,45,11,302,441,743,25,40,4,4,32,0,0
ดงกลางพัฒนศึกษา,22,22,0,54,52,106,6,9,3,3,3,0,0
หนองกุงศรีวิทยาคาร,162,163,4,377,580,957,31,53,3,9,41,0,0
มัธยมภูฮังพัฒนวิทย์,29,25,3,89,92,181,9,9,4,3,2,0,0
หนองบัวไชยวารพิทยาสรรพ์,51,10,41,39,45,84,6,9,3,4,2,0,0
ฆ้องชัยวิทยาคม,18,7,10,66,65,131,6,7,3,1,3,0,0
เหล่ากลางวิทยาคม,61,31,27,142,99,241,12,18,1,1,16,0,0
ไตรรัตนวิทยาคม,26,24,2,102,80,182,8,16,2,1,13,0,0
เขาวงพิทยาคาร,55,55,0,358,546,904,32,43,1,4,38,0,0
นามนพิทยาคม,39,35,5,164,199,363,18,17,1,2,14,0,0
กุฉินารายณ์,108,108,0,700,739,1439,43,65,7,10,48,0,0
พุทโธภาวนาประชาสรรค์,48,37,9,44,30,74,6,13,0,3,10,0,0
มอสวนขิงพิทยาสรรพ์,32,16,16,94,116,210,7,12,1,4,7,0,0
กาญจนาภิเษกวิทยาลัยกาฬสินธุ์,143,122,21,160,181,341,20,38,1,9,28,0,0
สามขาสว่างวิทย์,21,16,5,96,72,168,12,23,0,2,21,0,0
โนนคำวิทยา,37,7,30,76,91,167,7,12,3,4,5,0,0
นาไคร้พิทยาสรรพ์,66,46,30,144,140,284,12,18,0,3,15,0,0
คำม่วง,148,108,40,545,773,1318,37,62,23,9,29,0,1
สมเด็จพิทยาคม,216,216,0,1085,1599,2684,66,111,23,23,65,0,0
มหาไชยพิทยาคม,37,19,18,132,138,270,9,17,5,2,10,0,0
แก้วเสด็จพิทยาคม,20,12,8,93,68,161,6,9,5,0,4,0,0
ประชารัฐพัฒนศึกษา,35,20,15,62,43,105,6,7,2,0,5,0,0
บัวสามัคคีพิทยาสรรพ์,33,15,18,75,58,133,7,9,5,3,1,0,0
ผาเสวยรังสรรค์,38,26,10,45,35,80,6,8,0,1,7,0,0
ห้วยผึ้งพิทยา,84,84,0,236,290,526,23,31,1,3,27,0,0
พระเทพญาณวิศิษฏ์อุดมวิทย์,45,32,1,58,85,143,8,10,1,1,8,0,0
บ้านนาคูพัฒนากรป.กลางอุปถัมภ์,165,53,112,287,398,685,23,38,0,2,36,0,0
บ่อแก้วพระเทพญาณวิศิษฏ์พัฒนา,30,20,10,72,41,113,6,12,0,1,11,0,0
ขอนแก่นวิทยายน,300,300,0,1975,2641,4616,114,193,13,24,156,0,0
กัลยาณวัตร,548,547,0,1096,2450,3546,85,157,20,20,117,0,0
แก่นนครวิทยาลัย,302,302,0,1944,2363,4307,112,181,10,41,130,0,0
เตรียมอุดมศึกษาพัฒนาการขอนแก่น,75,20,55,235,220,455,15,22,5,3,14,0,0
สาวะถีพิทยาสรรพ์,127,104,13,206,202,408,18,20,1,3,16,0,0
โคกสีพิทยาสรรพ์,72,48,24,172,166,338,13,20,1,1,18,0,0
นครขอนแก่น,173,173,0,798,1204,2002,55,95,11,22,62,0,0
เทพศิรินทร์ขอนแก่น,130,85,0,165,26,191,9,14,0,3,11,0,0
ขอนแก่นวิทยาลัย,44,20,5,77,62,139,8,11,2,1,8,0,0
สีหราชเดโชชัย,25,20,5,56,44,100,9,12,2,3,7,0,0
ขอนแก่นพัฒนศึกษา,41,23,18,117,74,191,9,11,2,3,6,0,0
ขอนแก่นวิทยายน2,110,55,55,281,304,585,19,34,0,1,32,1,0
ขอนแก่นวิทยายน3,36,21,15,70,90,160,12,11,3,1,7,0,0
แก่นนครวิทยาลัย2,20,9,11,88,54,142,11,11,1,4,6,0,0
ขามแก่นนคร,205,145,40,758,844,1602,48,81,7,10,61,3,0
ฝางวิทยายน,109,42,71,321,364,685,24,34,5,7,22,0,0
ป่าหวายวิทยายน,23,18,0,28,22,50,6,8,5,2,1,0,0
ประชารัฐวิทยาเสริม,98,66,0,198,180,378,12,23,5,6,12,0,0
บ้านไผ่,449,449,0,1015,1774,2789,70,117,14,15,88,0,0
บ้านลานวิทยาคม,57,20,37,338,239,577,21,30,11,5,14,0,0
บ้านไผ่ศึกษา,9,4,16,98,54,152,6,12,4,0,8,0,0
บ้านไผ่พิทยาคม,50,40,10,279,233,512,18,27,2,3,22,0,0
เปือยน้อยศึกษา,137,68,49,192,219,411,17,11,6,1,4,0,0
กู่ทองพิทยาลัย,34,8,26,50,49,99,6,7,3,2,2,0,0
มัญจาศึกษา,212,205,0,816,1043,1859,54,84,10,7,67,0,0
คำแคนวิทยาคม,20,10,10,100,110,210,12,11,5,4,2,0,0
โคกนางามพิทยาสรรพ์,59,48,11,130,101,231,11,14,4,3,7,0,0
มัธยมโพนเพ็ก,22,12,10,55,46,101,6,10,3,0,7,0,0
เหล่าใหญ่นาข่าวิทยาคม,26,18,8,48,35,83,6,10,7,2,1,0,0
ท่าศาลาประชานุสรณ์,20,20,0,48,56,104,6,5,0,2,3,0,0
ชนบทศึกษา,157,80,62,508,594,1102,32,52,8,5,39,0,0
ประชารัฐพัฒนาการ,15,15,0,162,42,204,6,11,8,0,3,0,0
โคกโพธิ์ไชยศึกษา,72,34,36,262,256,518,18,26,3,8,15,0,0
บ้านแฮดศึกษา,42,38,4,250,260,510,15,29,10,4,15,0,0
หนองขามพิทยาคม,10,4,5,74,42,116,6,10,5,1,4,0,0
พล,269,269,0,691,934,1625,48,81,5,8,68,0,0
โสกนกเต็นประชาอุปถัมภ์,60,43,17,72,58,130,6,11,3,3,5,0,0
โนนข่าวิทยา,47,34,13,154,96,250,12,15,0,2,13,0,0
พลพัฒนศึกษา,37,15,22,46,31,77,6,10,5,2,3,0,0
แวงใหญ่วิทยาคม,98,83,15,255,319,574,15,31,0,5,26,0,0
โนนสะอาดวิทยาคาร,40,35,5,140,145,285,11,14,1,3,10,0,0
แวงน้อยศึกษา,137,50,86,281,272,553,16,29,2,5,22,0,0
ท่านางแนววิทยายน,50,38,7,213,202,415,15,19,4,6,9,0,0
ก้านเหลืองวิทยาคม,21,21,0,153,111,264,10,15,4,2,9,0,0
หนองสองห้องวิทยา,136,115,21,487,656,1143,37,59,8,16,34,0,1
ไตรคามวิทยา,31,29,26,63,72,135,9,11,6,2,3,0,0
เบญจมิตรวิทยา,36,21,15,59,44,103,6,9,5,1,3,0,0
ศรีหนองกาววิทยา,49,29,20,138,133,271,12,16,1,2,13,0,0
โนนศิลาวิทยาคม,108,72,18,243,288,531,17,22,8,1,13,0,0
สันติพัฒนกิจวิทยา,41,23,13,53,45,98,6,9,5,0,4,0,0
น้ำพองศึกษา,401,302,99,1028,1500,2528,66,105,22,21,62,0,0
ดงมันพิทยาคม,20,18,22,108,99,207,6,12,3,2,7,0,0
บัวใหญ่พิทยาคม,89,65,24,189,163,352,14,19,5,2,12,0,0
น้ำพองพัฒนศึกษารัชมังคลาภิเษก,47,35,12,181,190,371,15,33,10,6,17,0,0
พังทุยพัฒนศึกษา,56,9,40,86,96,182,6,13,7,1,5,0,0
ม่วงหวานพัฒนศึกษา,22,21,1,74,78,152,6,11,3,5,3,0,0
ลำน้ำพอง,27,21,6,65,40,105,6,12,1,2,9,0,0
บึงไทรพิทยาคม,15,15,0,51,39,90,6,10,4,1,5,0,0
บัวแก้วพิทยาคม,23,9,14,95,115,210,9,9,7,2,0,0,0
อุบลรัตน์พิทยาคม,143,143,0,474,647,1121,33,51,14,13,24,0,0
ศรีกระนวนวิทยาคม,400,380,10,984,1669,2653,70,117,25,18,73,1,0
ยางคำพิทยาคม,50,25,25,119,123,242,12,16,7,4,5,0,0
ทุ่งใหญ่รัตนศึกษา,120,20,90,145,150,295,10,17,10,1,6,0,0
เขาสวนกวางวิทยานุกูล,88,48,40,231,222,453,16,27,6,6,15,0,0
ดงบังวิทยายน,23,19,4,36,27,63,6,8,6,1,1,0,0
หนองเรือวิทยา,337,286,104,963,1605,2568,68,111,16,23,71,1,0
จระเข้วิทยายน,66,54,12,237,191,428,18,22,2,2,18,0,0
มัธยมตลาดใหญ่วิทยา,55,20,35,60,61,121,6,7,3,1,3,0,0
ชุมแพศึกษา,257,88,169,1111,1737,2848,75,137,25,22,89,1,0
จตุรมิตรวิทยาคาร,113,70,43,469,500,969,31,49,7,9,33,0,0
ขัวเรียงศึกษา,31,30,0,49,57,106,6,12,3,1,8,0,0
ชุมแพพิทยาคม,14,4,10,132,124,256,10,16,6,2,8,0,0
หนองเสาเล้าวิทยาคาร,48,36,12,78,86,164,13,11,7,1,3,0,0
ชุมแพวิทยายน,19,16,4,111,100,211,11,13,3,4,6,0,0
นาจานศึกษา,43,32,12,245,242,487,15,24,1,2,21,0,0
ผาขามวิทยายน,19,13,6,53,39,92,6,6,5,1,0,0,0
หนองตาไก้ศึกษา,53,53,0,83,109,192,9,14,6,0,8,0,0
ซำยางวิทยายน,29,13,16,45,45,90,6,10,5,2,3,0,0
ภูเวียงวิทยาคม,204,204,0,884,1297,2181,67,93,26,24,43,0,0
กุดขอนแก่นวิทยาคม,175,51,124,217,240,457,17,22,15,0,7,0,0
เวียงวงกตวิทยาคม,83,75,8,264,274,538,18,28,12,3,13,0,0
เวียงนครวิทยาคม,75,60,15,221,236,457,16,21,11,7,3,0,0
ภูผาม่าน,38,30,8,220,278,498,18,23,8,5,10,0,0
หนองนาคำวิทยาคม,105,95,10,301,309,610,18,32,13,7,12,0,0
สารคามพิทยาคม,274,272,6,1560,2293,3853,102,165,32,15,118,0,0
ผดุงนารี,180,137,43,1538,2310,3848,99,188,49,10,129,0,0
มหาวิชานุกูล,76,43,33,73,18,91,6,14,0,1,13,0,0
มหาชัยพิทยาคาร,12,12,0,121,109,230,10,16,0,0,16,0,0
แกดำวิทยาคาร,35,35,0,128,146,274,11,15,2,3,10,0,0
มิตรภาพ,102,29,73,136,126,262,21,19,1,9,9,0,0
โกสุมวิทยาสรรค์,360,310,50,851,1188,2039,59,95,13,11,71,0,0
เขวาไร่ศึกษา,91,81,11,544,645,1189,32,45,6,5,34,0,0
เขื่อนพิทยาสรรค์,34,26,8,126,91,217,8,14,0,1,13,0,0
โพนงามพิทยานุกูล,39,16,9,50,34,84,6,8,5,1,2,0,0
วังยาวศึกษาวิทย์,16,16,12,54,37,91,6,11,1,2,8,0,0
เขวาใหญ่พิทยาสรรค์,55,30,21,35,32,67,6,13,1,1,11,0,0
กันทรวิชัย,185,106,69,358,329,687,20,33,2,2,29,0,0
เชียงยืนพิทยาคม,254,229,25,632,899,1531,45,67,9,12,46,0,0
กู่ทองพิทยาคม,40,24,16,79,36,115,6,10,1,2,7,0,0
กุดรังประชาสรรค์,30,19,11,55,32,87,6,11,2,2,7,0,0
นาโพธิ์พิทยาสรรพ์,37,24,13,189,247,436,15,23,3,6,14,0,0
ชื่นชมพิทยาคาร,114,109,5,246,274,520,18,25,8,2,15,0,0
บรบือ,170,170,0,852,1126,1978,60,88,15,8,65,0,0
เหล่ายาววิทยาคาร,44,26,18,99,94,193,11,11,3,1,7,0,0
โนนแดงวิทยาคม,44,25,17,135,119,254,11,16,0,2,14,0,0
ยางวิทยาคม,56,46,10,114,113,227,10,11,2,3,6,0,0
โนนราษีวิทยา,72,72,0,47,33,80,6,9,4,3,2,0,0
หนองม่วงวิทยาคาร,14,14,0,68,32,100,6,11,3,4,4,0,0
บรบือวิทยาคาร,176,176,60,951,1265,2216,61,105,11,14,80,0,0
นาเชือกพิทยาสรรค์,79,81,0,747,1081,1828,52,73,25,12,36,0,0
ปอพานพิทยาคมรัชมังคลาภิเษก,51,31,20,80,97,177,6,13,4,3,6,0,0
พยัคฆภูมิวิทยาคาร,190,190,0,1079,1607,2686,76,107,21,25,56,0,5
วาปีปทุม,232,208,24,1147,1865,3012,83,135,38,28,69,0,0
ดงใหญ่วิทยาคมรัชมังคลาภิเษก,55,43,12,159,181,340,13,23,0,3,20,0,0
ประชาพัฒนา,42,37,5,83,96,179,12,25,1,0,24,0,0
นาดูนประชาสรรพ์,124,124,0,514,659,1173,33,52,16,10,26,0,0
ดงบังพิสัยนวการนุสรณ์,24,9,15,167,164,331,16,23,6,5,12,0,0
นาภูพิทยาคม,55,47,8,183,178,361,13,25,12,1,12,0,0
มัธยมยางสีสุราช,,,,183,178,361,13,25,12,1,12,0,0
ธวัชบุรีวิทยาคม,100,102,24,333,359,692,24,31,8,3,20,0,0
จตุรพักตรพิมานรัชดาภิเษก,281,222,59,848,998,1846,54,87,10,6,70,1,0
โคกล่ามพิทยาคม,140,50,90,213,228,441,16,20,8,1,11,0,0
ธงธานี,137,99,38,214,224,438,17,22,1,5,16,0,0
สตรีศึกษา,634,578,16,340,3291,3631,98,160,5,16,138,1,0
ดู่น้อยประชาสรรค์,27,11,16,96,67,163,8,18,1,1,16,0,0
เตรียมอุดมศึกษาพัฒนาการร้อยเอ็ด,91,67,24,374,385,759,27,31,1,8,22,0,0
ศรีธวัชวิทยาลัย,49,33,16,32,87,119,7,17,0,1,16,0,0
ขัติยะวงษา,120,120,0,331,367,698,23,37,4,2,31,0,0
สตรีศึกษา2,75,48,27,91,74,165,9,15,1,4,10,0,0
ศรีสมเด็จพิมพ์พัฒนาวิทยา,125,103,22,379,430,809,30,44,1,6,37,0,0
เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ร้อยเอ็ด,77,74,5,166,160,326,20,35,2,6,27,0,0
ม่วงลาดวิทยาคาร,52,44,8,84,66,150,12,19,0,2,17,0,0
จังหารฐิตวิริยาประชาสรรค์,188,158,30,189,162,351,16,19,0,2,17,0,0
เชียงขวัญพิทยาคม,85,71,2,169,168,337,14,16,0,3,13,0,0
พลับพลาวิทยาคม,29,26,4,40,38,78,6,13,3,1,9,0,0
เทอดไทยวิทยาคม,25,25,6,107,93,200,9,15,5,2,8,0,0
ร้อยเอ็ดวิทยาลัย,300,300,0,2172,1141,3313,90,149,16,19,114,0,0
เมืองน้อยวิทยาคม,17,17,0,58,43,101,6,12,1,3,8,0,0
พนมไพรวิทยาคาร,102,101,1,908,1130,2038,57,85,19,19,46,0,1
จันทรุเบกษาอนุสรณ์,365,324,60,824,1056,1880,52,81,17,13,50,1,0
ปทุมรัตต์พิทยาคม,359,314,45,713,1050,1763,56,81,12,12,57,0,0
น้ำใสวรวิทย์,40,40,0,68,71,139,9,13,0,1,12,0,0
หนองผึ้งวิทยาคาร,74,74,0,126,132,258,14,22,1,10,11,0,0
โพนสูงประชาสรรค์,22,14,8,112,74,186,9,12,2,1,9,0,0
กู่กาสิงห์ประชาสรรค์,38,23,12,62,54,116,6,13,3,3,7,0,0
เหล่าหลวงประชานุสรณ์,47,17,30,86,95,181,6,11,5,5,1,0,0
สุวรรณภูมิพิทยไพศาล,489,379,110,1102,1703,2805,78,113,19,14,78,0,2
หัวโทนวิทยา,50,40,10,108,81,189,8,15,1,0,14,0,0
สุวรรณภูมิวิทยาลัย,186,186,0,837,932,1769,55,83,12,11,60,0,0
ช้างเผือกวิทยาคม,111,106,5,108,114,222,8,24,2,4,18,0,0
ทุ่งหลวงพลับพลาไชย,47,34,13,64,48,112,6,11,2,1,8,0,0
หินกองวิทยาคาร,44,19,25,54,36,90,6,11,2,3,6,0,0
เมืองสรวงวิทยา,100,85,15,332,398,730,24,44,4,3,37,0,0
สูงยางวิทยาประชาสรรค์,24,13,11,59,51,110,6,11,1,2,8,0,0
ทรายทองวิทยา,88,83,5,316,377,693,24,32,7,9,16,0,0
สามขาท่าหาดยาววิทยา,70,25,45,109,147,256,10,15,5,3,7,0,0
อาจสามารถวิทยา,122,110,12,421,497,918,26,44,5,8,31,0,0
หนองหมื่นถ่านวิทยา,99,26,73,144,125,269,21,23,1,6,16,0,0
โพนเมืองประชารัฐ,39,39,0,87,114,201,9,16,5,1,10,0,0
หนองฮีเจริญวิทย์,17,17,0,153,158,311,12,23,2,2,19,0,0
ดูกอึ่งประชาสามัคคี,23,23,0,68,83,151,9,12,6,2,4,0,0
โนนชัยศรีวิทยา,60,27,33,110,111,221,12,20,0,4,15,1,0
เชียงใหม่ประชานุสรณ์,62,65,0,278,321,599,25,34,2,10,22,0,0
วังหลวงวิทยาคม,11,10,0,75,76,151,9,14,0,2,12,0,0
เมยวดีพิทยาคม,175,155,20,319,430,749,27,38,2,7,29,0,0
โพนทองพัฒนาวิทยา,261,246,55,1085,1701,2786,66,110,10,15,85,0,0
โพธิ์ชัยชนูปถัมภ์,107,82,20,280,347,627,26,37,2,2,33,0,0
หนองพอกวิทยาลัย,227,180,20,560,734,1294,41,63,20,15,28,0,0
เสลภูมิพิทยาคม,350,325,15,1119,1472,2591,69,109,24,12,73,0,0
โพนทองวิทยายน,118,95,23,377,348,725,24,37,8,6,23,0,0
ขวาววิทยาคาร,75,12,63,92,74,166,9,17,1,1,15,0,0
ม่วงมิตรวิทยาคม,44,36,8,167,178,345,15,20,3,2,15,0,0
โพธิ์แก้วประชาสรรค์,36,30,6,93,96,189,10,17,3,6,8,0,0
เสลภูมิ,127,80,47,242,312,554,20,30,0,3,27,0,0
โพธิ์ทองวิทยาคาร,49,23,26,117,165,282,12,18,4,2,11,0,1
